name,male_count,female_count
DINAH,0,10110
DOSHIA,0,763
EDNAH,0,75
EDYTH,0,2231
ELEANORA,0,5966
ELECTA,0,1181
EOLA,0,740
ERIE,1960,1403
EUDORA,0,2046
EUPHEMIA,0,656
EVALENA,0,1241
EVALINE,0,1510
FAITH,229,131087
FIDELIA,0,706
FREDDIE,72518,10247
GOLDA,0,5943
HARRY,420505,2017
HELMA,0,595
HERMINE,0,1534
HESSIE,16,1118
IVAH,0,855
JANETTE,42,31850
JENNETTE,0,3516
JOELLA,0,3665
KATHRYNE,0,5889
LACY,6460,19508
LANIE,35,4711
LAURETTA,0,9617
LEANA,0,4313
LEATHA,0,6023
LEO,192128,1913
LILLER,0,333
LILLIS,0,637
LOUETTA,0,1520
MADIE,0,3163
MAI,20,5219
MARTINA,40,17034
MARYANN,52,62005
MELVA,30,14144
MENA,161,1313
MERCEDES,369,44459
MERLE,30406,14716
MIMA,0,719
MINDA,0,1586
MONICA,982,247410
NEALIE,17,771
NETTA,0,1056
NOLIA,0,517
NONIE,0,1349
ODELIA,0,2488
OTTILIE,0,727
PHYLLIS,871,322342
ROBBIE,20797,22243
SABINA,0,7341
SADA,0,1224
SAMMIE,20646,7523
SUZANNE,492,218758
SYBILLA,0,174
THEA,5,10648
TRESSIE,6,5326
VALLIE,143,3135
VENIE,0,341
VINEY,0,376
WILHELMINE,0,519
WINONA,0,10887
ZELDA,5,12831
ZILPHA,0,570
ADELLE,0,5083
ADINA,0,6031
ADRIENNE,382,66426
ALBERTINE,0,2196
ALYS,0,1193
ANA,591,98856
ARAMINTA,0,257
ARTHUR,525763,3193
BIRTHA,0,1973
BULAH,0,3027
CADDIE,0,96
CELIE,0,495
CHARLOTTA,0,966
CLAIR,12037,4043
CONCEPCION,968,5170
CORDELLA,0,377
CORRINE,0,20449
DELILA,0,3138
DELPHINE,33,10050
DOSHA,0,384
EDGAR,150162,705
ELAINE,654,256750
ELISA,137,41378
ELLAR,0,511
ELMIRE,0,213
ELVINA,0,2515
ENA,0,3199
ESTIE,0,279
ETTER,0,476
FRONNIE,0,213
GENIE,173,2695
GEORGINA,0,15222
GLENN,247424,2136
GRACIA,0,1835
GUADALUPE,24718,64459
GWENDOLYN,333,116961
HASSIE,10,1543
